zh_TW,zh-CN,en-En,en調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
交易品種,,Trading Varieties,Varieties,,,,,,,,,,,,,"futuresMarketContent.futuresName,home.tradingVarietyTitle,futuresCustomEdit.futuresName"
賣出價,,Selling Rate,,,,,,,,,,,,,,"futuresMarketContent.sellPrice,home.sellingPriceTitle,futuresAlert.sellOutPrice,futuresDetail.sellOutPrice"
買入價,,Buying Rate,,,,,,,,,,,,,,"futuresMarketContent.buyPrice,home.buyingPriceTitle,futuresAlert.buyInPrice,futuresDetail.buyInPrice"
自選,,Optional,,,,,,,,,,,,,,"futuresMarketContent.customTab,home.futuresTabFavorite"
輸入交易品種 / 英文名稱,,Enter trading variety / English name,Enter variety / English name,,,,,,,,,,,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,,Available Balance,Available,,,,,,,,,,,,,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
最新價,,Current Price,,,,,,,,,,,,,,"futuresMarketContent.lastPrice,home.lastPrice,positions.lastPrice"
漲跌幅,,Volatility,,,,,,,,,,,,,,"futuresMarketContent.changeRate,home.changeRate,futuresChart.changeRate"
漲跌幅/點差,,,Volatility / Spread,,,7,,,6,,,8,,,13,futuresMarketContent.changeRateSpread
多元交易產品安全,,"Diverse Transaction, Safe Products",,,,,,,,,,,,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,,"Quick and intuitive ordering, diversified order placement tools",,,,,,,,,,,,,,home.defaultBannerSubtitle
更多交易,,More Transactions,More,,,,,,,,,,,,,home.moreTransaction
公告,,Announcement,,,,,,,,,,,,,,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,,Welcome to {AppName}~,,,,,,,,,,,,,,home.defaultMarquee
專屬客服,,Exclusive Customer Service,,,,,,,,,,,,,,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,,"More convenient, faster and more efficient service",,,,,,,,,,,,,,home.customerServiceContent
任務中心,,Mission Center,,,,,,,,,,,,,,home.missionButton
歡迎 ~ 立即交易全球市場,,Welcome ~ Trade in the global market now.,,,,,,,,,,,,,,home.logoMessageContent
訂單列表,,Order List,,,,,,,,,,,,,,home.tradeListButton
活動,,Event,,,,,,,,,,,,,,home.eventButton
教學,,Tutorial,,,,,,,,,,,,,,"home.tutorialButton,qa.appBarTitle"
熱門交易,,Top Transactions,,,,,,,,,,,,,,home.futuresTabTop
點差,,Spread,,,,,,,,,,,,,,"home.spreadPrefix,agentTransactionSettingList.spreadTitle,agentConditionFuturesList.spreadTitle"
提示,,Tip:,,,,,,,,,,,,,,home.idVerifyNeedPopup.title
"尚未完成/通過身分驗證
請通過身分驗證後，再進行入金",,"Identity verification not yet completed/passed 
Please pass the identity verification before making a deposit.",,,,,,,,,,,,,,home.idVerifyNeedPopup.content
