zh_TW,zh-CN,en-EN,英文字數,建議字數,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
輸入交易品種 / 英文名稱,,,,,,,,,,,,,,,,,"futuresMarketContent.searchHint,home.searchHint,futuresSearch.searchInputHint"
可用餘額,,,,,,,,,,,,,,,,,"futuresMarketContent.availableBalance,agentUsersDetail.availableBalance,accountTransaction.availableBalance,walletAssetsPopup.availableBalance,futuresTransaction.availableBalance"
多完交易產品安全,,,,,,,,,,,,,,,,,home.defaultBannerTitle
快速下單直覺 多樣化下單工具,,,,,,,,,,,,,,,,,home.defaultBannerSubtitle
更多交易,,,,,,,,,,,,,,,,,home.moreTransaction
公告,,,,,,,,,,,,,,,,,"home.announcement,announcement.appBarTitle"
歡迎來到{appName}~,,,,,,,,,,,,,,,,,home.defaultMarquee
專屬客服,,,,,,,,,,,,,,,,,"home.customerServiceButton,customerService.appBarTitle"
更方便、更快捷、更高效的服務,,,,,,,,,,,,,,,,,home.customerServiceContent
任務中心,,,,,,,,,,,,,,,,,home.missionButton
歡迎 ~ 立即交易全球市場,,,,,,,,,,,,,,,,,home.logoMessageContent
訂單列表,,,,,,,,,,,,,,,,,home.tadeListButton
活動,,,,,,,,,,,,,,,,,home.eventButton
教學,,,,,,,,,,,,,,,,,"home.tutorialButton,qa.appBarTitle"
熱門交易,,,,,,,,,,,,,,,,,home.futuresTabTop
登出成功,,,,,,,,,,,,,,,,,home.logoutSuccess
首頁,,,,,,,,,,,,,,,,,menu.home
資產,,,,,,,,,,,,,,,,,menu.funds
交易,,,,,,,,,,,,,,,,,menu.trade
我的,,,,,,,,,,,,,,,,,menu.my
總覽,,,,,,,,,,,,,,,,,"menu.overview,agentSetting.agentOverview,agentOverview.appBarTitle"
用戶清單,,,,,,,,,,,,,,,,,"menu.users,agentSetting.agentUsers"
分潤細節,,,,,,,,,,,,,,,,,"menu.profitSharing,agentSetting.agentProfitSharing,agentProfitSharing.appBarTitle,agentOverview.agentProfitTitle"
推薦碼,,,,,,,,,,,,,,,,,"menu.referralCode,accountData.referralCodeTitle,agentSetting.agentReferralCode,agentUser.filterPopup.recommendedCode,agentReferralCode.appBarTitle,referralCodeBind.inputTitle,agentReferralUserList.recommendedCode"
交易設定,,,,,,,,,,,,,,,,,"menu.transactionSetting,agentSetting.transactionSetting,agentTransactionSetting.appBarTitle"
買入,,,,,,,,,,,,,,,,,"agentFundingPositionsList.buyingTitle,agentFundingPositionsDetail.buyingTitle,common.buyIn"
賣出,,,,,,,,,,,,,,,,,"agentFundingPositionsList.sellTitle,agentFundingPositionsDetail.sellTitle,common.sellOut"
手續費,,,,,,,,,,,,,,,,,"agentFundingPositionsList.handlingFeeTitle,agentFundingPositionsDetail.handlingFeeTitle,agentUsersDetail.handlingFeeTitle,paymentHistory.fee,futuresTransaction.totalCostPopup.handlingFee,agentTransactionSettingList.handlingFeeTitle,agentConditionFuturesList.handlingFeeTitle"
槓桿設定,,,,,,,,,,,,,,,,,"agentFundingPositionsList.leverageSettingTitle,agentFundingPositionsDetail.leverageSettingTitle,agentFundingDetails.filterPopup.leverageSettingTitle"
總盈虧,,,,,,,,,,,,,,,,,"agentFundingPositionsList.generalProfit,agentFundingPositionsDetail.generalProfit,agentFundingDetails.filterPopup.openingFilterGeneralProfit"
開倉價,,,,,,,,,,,,,,,,,"agentFundingPositionsList.openingPriceTitle,positions.openPositionPrice,orders.openPriceTitle"
止盈價格,,,,,,,,,,,,,,,,,"agentFundingPositionsList.stopProfitPrice,agentFundingPositionsDetail.stopProfitPrice"
止損價格,,,,,,,,,,,,,,,,,"agentFundingPositionsList.stopLossPrice,agentFundingPositionsDetail.stopLossPrice"
單號,,,,,,,,,,,,,,,,,"agentFundingPositionsList.singleNumberTitle,agentFundingPositionsDetail.singleNumberTitle,paymentHistory.orderSerial,withdrawCategory.orderSerial"
立即成交,,,,,,,,,,,,,,,,,"agentFundingPositionsList.repairImmediatelyHint,agentFundingPositionsDetail.repairImmediatelyHint"
開倉保證金,,,,,,,,,,,,,,,,,"agentFundingPositionsList.openMarginTitle,agentFundingPositionsDetail.openMarginTitle"
複製,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.copyButton,agentReferralCodeList.copyButton,copyButton.title"
平倉時間,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.closingTimeTitle,transactionHistory.closePositionTime,transactionHistoryDetail.createDate,agentFundingDetails.filterPopup.closingTimeTitle"
開倉時間,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.openingTimeTitle,agentFundingDetails.filterPopup.openingTimeTitle"
交易方向,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.tradingDirectionTitle,agentFundingDetails.filterPopup.tradingDirectionTitle"
淨盈虧,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.netProfit,agentFundingDetails.filterPopup.openingFilterNetProfit"
資金明細,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.appBarTitle,agentFundingDetails.appBarTitle,agentPaymentDetail.appBarTitle"
掛單,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.hangingTitle,accountTransaction.tabOrder,futuresDetail.bottomSheet.accountOrder,orderDetail.openPositionChartTag,orderDetail.orderTag,orderDetail.orderChartTag"
隔夜費,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.rolloverTitle,positionDetail.rollover,futuresContract.rollover,transactionHistoryDetail.rollover"
掛單價格,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.hangingPriceTitle,orderDetail.orderPriceTitle,orderModify.accountOrderTitle"
開倉價格,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.openingPriceTitle,positionDetail.tableOpenPriceTitle,positionDetail.openPriceTitle,transactionHistoryDetail.openPositionPriceTitle,futuresTransaction.marketOrderPopup.openPrice,orderDetail.openingPriceTitle"
平倉價格,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.closingPriceTitle,transactionHistoryDetail.closePositionPriceTitle"
已複製,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.copyToast
交易數量 (手),,,,,,,,,,,,,,,,,agentFundingPositionsDetail.quantityTransactionsTitle
成交價格,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.dealPriceTitle
下單時間,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.orderTimeTitle
成交時間,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.dealOrderTimeTitle
更新時間,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.updateTimeTitle
持倉數量,,,,,,,,,,,,,,,,,agentFundingPositionsDetail.positionQuantityTitle
平倉原因,,,,,,,,,,,,,,,,,"agentFundingPositionsDetail.closingReasonTitle,transactionHistoryDetail.closePositionReason"
浮動淨盈虧,,,,,,,,,,,,,,,,,positionDetail.profitLoss
平倉,,,,,,,,,,,,,,,,,"positionDetail.closePosition,positions.closePosition,agentFundingDetails.closePositionButton"
開倉,,,,,,,,,,,,,,,,,"positionDetail.openPositionChartTag,agentFundingDetails.openPositionButton"
持倉,,,,,,,,,,,,,,,,,"positionDetail.positionTag,accountTransaction.tabPosition,futuresDetail.bottomSheet.accountPosition"
當前價格,,,,,,,,,,,,,,,,,"positionDetail.lastPriceTitle,futuresDetail.dataTab.nowPrice,orderDetail.lastPriceTitle"
維持保證金,,,,,,,,,,,,,,,,,"positionDetail.maintenanceMargin,accountTransaction.maintenanceMargin,walletAssetsPopup.maintenanceMargin"
最高,,,,,,,,,,,,,,,,,"positionDetail.highPrice,paymentHistory.filterPopup.amountMaxHint,futuresChartFullScreen.highPrice,futuresChart.highPrice"
開盤,,,,,,,,,,,,,,,,,"positionDetail.openPrice,futuresChartFullScreen.openPrice,futuresChart.openPrice"
最低,,,,,,,,,,,,,,,,,"positionDetail.lowPrice,paymentHistory.filterPopup.amountMinHint,futuresChartFullScreen.lowPrice,futuresChart.lowPrice"
方向,,,,,,,,,,,,,,,,,"positionDetail.tradingDirection,futuresTransaction.tradingDirection,orderDetail.tradingDirection"
手數,,,,,,,,,,,,,,,,,"positionDetail.lots,futuresTransaction.lots"
交易時間,,,,,,,,,,,,,,,,,positionDetail.createDate
保證金,,,,,,,,,,,,,,,,,"positionDetail.contractMargin,positions.occupyMargin,accountTransaction.occupyMargin,walletAssetsPopup.margin,transactionHistoryDetail.contractMargin,futuresTransaction.marketOrderPopup.occupyMargin,futuresTransaction.limitOrderPopup.occupyMargin,orders.occupyMargin,orderDetail.margin"
交易綜合費,,,,,,,,,,,,,,,,,"positionDetail.fee,transactionHistoryDetail.fee,futuresTransaction.totalCostPopup.transactionAllFee"
修改,,,,,,,,,,,,,,,,,"positionDetail.modifyButton,orderDetail.modifyButton"
訂單號,,,,,,,,,,,,,,,,,"positionDetail.transactionSerial,positions.transactionSerial,transactionHistory.transactionSerial,transactionHistoryDetail.transactionSerial,orders.transactionSerialTitle,orderDetail.transactionSerial"
未設置,,,,,,,,,,,,,,,,,"positionDetail.stopProfitLossEmpty,positionDetail.trailingStopEmpty,transactionHistoryDetail.stopProfitLossEmpty,transactionHistoryDetail.trailingStopEmpty,orderDetail.stopProfitLossEmpty,orderDetail.trailingStopEmpty,numberInputField.defaultHint"
數量,,,,,,,,,,,,,,,,,"positionDetail.tableLotsTitle,futuresTransaction.marketOrderPopup.lots,futuresTransaction.limitOrderPopup.lots,orderDetail.lotsTitle"
當前價值,,,,,,,,,,,,,,,,,positionDetail.currentPositionValue
平倉成功,,,,,,,,,,,,,,,,,"positionDetail.closePositionSuccess,positions.closePositionSuccess"
平倉手數超過持有手數,,,,,,,,,,,,,,,,,positionDetail.closePositionLotsOutRange
確認平倉,,,,,,,,,,,,,,,,,positionDetail.confirmClosePosition
開倉數量,,,,,,,,,,,,,,,,,positionDetail.openPositionLots
平倉數量,,,,,,,,,,,,,,,,,positionDetail.closePositionLots
(可輸入數量 {range}),,,,,,,,,,,,,,,,,positionDetail.lotsInputTip
"持倉異動, 請重新進入",,,,,,,,,,,,,,,,,positionDetail.positionChanged
現價,,,,,,,,,,,,,,,,,positionDetail.lastPriceChartTag
讀取中,,,,,,,,,,,,,,,,,"positionDetail.marginLoading,positionDetail.maintenanceMarginLoading,positionDetail.feeLoading"
--,,,,,,,,,,,,,,,,,positionDetail.rolloverEmpty
開倉價值,,,,,,,,,,,,,,,,,"positionDetail.openPositionValue,transactionHistoryDetail.openPositionValue"
預估強平價,,,,,,,,,,,,,,,,,"positionDetail.estimatedForcedParity,positions.estimatedForcedParity,adjustmentMarginDescriptionPopup.content3"
24h量,,,,,,,,,,,,,,,,,positionDetail.quantity24h
全選,,,,,,,,,,,,,,,,,"positions.selectAll,futuresCustomEdit.selectAll"
尚無掛單,,,,,,,,,,,,,,,,,"positions.emptyTip,orders.emptyTip"
開始交易,,,,,,,,,,,,,,,,,"positions.emptyButton,orders.emptyButton"
最新價,,,,,,,,,,,,,,,,,positions.lastPrice
重置,,,,,,,,,,,,,,,,,positions.resetSelect
批量平倉,,,,,,,,,,,,,,,,,positions.closeMultiPosition
交易手數超過持有手數,,,,,,,,,,,,,,,,,positions.closePositionLotsOutRange
確定平倉,,,,,,,,,,,,,,,,,positions.isConfirmClosePosition
限時價,,,,,,,,,,,,,,,,,positions.limitedTimePrice
尚無紀錄,,,,,,,,,,,,,,,,,transactionHistory.emptyTip
開始時間,,,,,,,,,,,,,,,,,transactionHistory.dateRangeStartDefault
結束時間,,,,,,,,,,,,,,,,,transactionHistory.dateRangeEndDefault
取消,,,,,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.cancelButton,agentUserPaymentHistory.filterPopup.cancelButton,common.cancel,agentTransactionSettingList.descriptionPopup.cancelButton,agentFundingDetails.filterPopup.cancelButton,agentReferralCodeList.descriptionPopup.cancelButton,agentProfitSharing.filterPopup.cancelButton,agentProfitSharingSearch.cancel,agentUser.filterPopup.cancelButton,agentUserSearch.cancel,agentReferralCodeSearch.cancel,agentReferralCodeFunctionPopup.cancelButton,editAgentReferralCode.descriptionPopup.cancelButton,addAgentReferralCodePopup.cancelButton,agentTransactionSettingSearch.cancel,agentUserProfitSharingForm.filterPopup.cancelButton,agentFundingDetailsSearch.cancel"
刪除點差,,,,,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.deleteTitle,agentUsersDetail.descriptionPopup.deleteButton,agentTransactionSettingList.descriptionPopup.deleteTitle,agentTransactionSettingList.descriptionPopup.deleteButton,editAgentReferralCode.descriptionPopup.deleteTitle,editAgentReferralCode.descriptionPopup.deleteButton"
刪除該品項點差，將會導致用戶交易的點差回到預設點差，可能會影響您的利潤。\n\n確定要刪除點差嗎？,,,,,,,,,,,,,,,,,"agentUsersDetail.descriptionPopup.contentText,agentTransactionSettingList.descriptionPopup.contentText,editAgentReferralCode.descriptionPopup.contentText"
規費,,,,,,,,,,,,,,,,,"agentUsersDetail.feesTitle,agentProfitSharing.feesTitle,agentUserProfitSharingForm.filterPopup.feesTitle,agentUserProfitSharingFormList.headerFees,agentOverview.feesTitle,agentProfitList.typesFees,agentCondition.FeesTitle"
交易利潤,,,,,,,,,,,,,,,,,"agentUsersDetail.transactionProfitTitle,agentProfitSharing.transactionProfitTitle,agentUserProfitSharingForm.filterPopup.transactionProfitTitle,agentUserProfitSharingFormList.headerTransactionProfit,agentOverview.transactionProfitTitle,agentProfitList.typesTransactionProfit"
其他利潤,,,,,,,,,,,,,,,,,"agentUsersDetail.otherProfitsTitle,agentProfitSharing.otherProfitsTitle,agentOverview.otherProfitsTitle,agentProfitList.typesOtherProfits"
總利潤,,,,,,,,,,,,,,,,,"agentUsersDetail.totalProfitTitle,agentProfitSharing.totalProfitTitle"
刪除成功,,,,,,,,,,,,,,,,,"agentUsersDetail.deleteSuccess,agentReferralCodeSearch.deleteSuccess,editAgentReferralCode.deleteSuccess,agentTransactionSettingSearch.deleteSuccess,agentTransactionSetting.deleteSuccess,agentReferralCode.deleteSuccess"
刪除失敗,,,,,,,,,,,,,,,,,"agentUsersDetail.deleteFailed,agentReferralCodeSearch.deleteFailed,agentTransactionSettingSearch.deleteFailed,agentTransactionSetting.deleteFailed,agentReferralCode.deleteFailed"
點差及手續費,,,,,,,,,,,,,,,,,"agentUsersDetail.distributionHandlingFeeTitle,agentReferralCodeList.distributionHandlingFeeTitle,editAgentReferralCode.distributionHandlingFeeTitle"
修改成功,,,,,,,,,,,,,,,,,"agentUsersDetail.editSuccess,editAgentReferralCode.editSuccess,agentTransactionSettingSearch.editSuccess,agentTransactionSetting.editSuccess,positionModify.modifySuccess,chartBollSetting.modifySuccess,chartKdjSetting.modifySuccess,chartMacdSetting.modifySuccess,chartMaSetting.modifySuccess,chartRsiSetting.modifySuccess,chartWrSetting.modifySuccess,chartTypeSetting.modifySuccess,orderModify.modifySuccess"
新增,,,,,,,,,,,,,,,,,"agentUsersDetail.addButton,editAgentReferralCode.addButton"
修改失敗,,,,,,,,,,,,,,,,,"agentUsersDetail.editFailed,agentTransactionSettingSearch.editFailed,agentTransactionSetting.editFailed,chartBollSetting.modifyFail,chartKdjSetting.modifyFail,chartMacdSetting.modifyFail,chartMaSetting.modifyFail,chartRsiSetting.modifyFail,chartWrSetting.modifyFail,chartTypeSetting.modifyFail"
查無資料,,,,,,,,,,,,,,,,,"agentUsersDetail.emptyTip,agentUserPaymentHistory.emptyTip,agentConditionFuturesList.emptyTip,agentPaymentDetail.emptyTip,agentTransactionSettingSearch.emptyTip,agentFundingDetailsSearch.emptyTip,agentCondition.emptyTip,agentTransactionSetting.emptyTip,agentReferralCodeUsers.emptyTip"
利潤,,,,,,,,,,,,,,,,,agentUsersDetail.profitTitle
交易概況,,,,,,,,,,,,,,,,,agentUsersDetail.tradingOverviewTitle
利潤損失,,,,,,,,,,,,,,,,,agentUsersDetail.profitLossTitle
總保證金,,,,,,,,,,,,,,,,,agentUsersDetail.totalMargin
股權,,,,,,,,,,,,,,,,,agentUsersDetail.equity
總維持保證金,,,,,,,,,,,,,,,,,agentUsersDetail.totalMaintenanceMargin
交易明細,,,,,,,,,,,,,,,,,agentUsersDetail.transactionDetailsButton
清除,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.cleanButton,paymentHistory.filterPopup.clearButton,agentFundingDetails.filterPopup.cleanButton,agentProfitSharing.filterPopup.cleanButton,agentUser.filterPopup.cleanButton,agentUserProfitSharingForm.filterPopup.cleanButton"
篩選,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.filterButton,paymentHistory.filterPopup.filterButton,agentFundingDetails.filterPopup.filterButton,agentProfitSharing.filterPopup.filterButton,agentUser.filterPopup.filterButton,agentUserProfitSharingForm.filterPopup.filterButton,agentTransactionSetting.filterTitle"
請選擇日期,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.dateButtonHint,paymentHistory.filterPopup.applyTimeHint,agentFundingDetails.filterPopup.dateButtonHint,agentProfitSharing.dateButtonHint,agentUser.filterPopup.selectDateButton,agentUserProfitSharingForm.dateHint,agentOverview.dateHint"
請選擇類型,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.typesButtonHint,paymentHistory.filterPopup.directionHint,agentProfitSharing.typesButtonHint,agentReferralCodeUsers.typesButtonHint"
出入金紀錄篩選,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.popupTitle,paymentHistory.filterPopup.popupTitle"
申請日期,,,,,,,,,,,,,,,,,agentUserPaymentHistory.filterPopup.dateTitle
出入金類型,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.typesTitle,paymentHistory.filterPopup.directionTitle"
出入金方式,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.methodTitle,paymentHistory.filterPopup.categoryTitle"
請選擇出入金方式,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.methodButtonHint,paymentHistory.filterPopup.categoryHint"
狀態,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.statusTitle,paymentHistory.filterPopup.statusTitle"
請選擇狀態,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.statusButtonHint,paymentHistory.filterPopup.statusHint"
金額,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.filterPopup.amountTitle,paymentHistory.filterPopup.amountTitle"
出入金詳情,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.depositWithdrawalDetailsTitle,paymentHistory.paymentDetail,agentPaymentDetail.depositWithdrawalDetailsTitle"
入金總額,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.totalDeposit,paymentHistory.paymentTotal,agentPaymentDetail.depositTotal"
出金總額,,,,,,,,,,,,,,,,,"agentUserPaymentHistory.totalWithdrawal,paymentHistory.withdrawTotal"
方式,,,,,,,,,,,,,,,,,"paymentHistory.method,agentUserPaymentHistoryList.methodTitle,withdrawCategory.method"
類型,,,,,,,,,,,,,,,,,"paymentHistory.type,agentUserPaymentHistoryList.typesTitle,futuresTransaction.marketOrderPopup.type,futuresTransaction.limitOrderPopup.type,agentProfitSharing.typesTitle,withdrawCategory.type"
日期,,,,,,,,,,,,,,,,,"paymentHistory.dateTitle,agentUserPaymentHistoryList.dateTitle,agentProfitSharing.dateTitle,agentUserProfitSharingForm.dateTitle,agentOverview.dateTitle,withdrawBank.datePrefix,withdrawCategory.dateTitle"
審核中,,,,,,,,,,,,,,,,,"paymentHistory.statusAudit,paymentHistory.orderStatusWithdrawAudit,agentUserPaymentHistoryList.orderStatusWithdrawAudit,accountPaymentManager.statusAudit"
等待,,,,,,,,,,,,,,,,,paymentHistory.statusWait
完成,,,,,,,,,,,,,,,,,paymentHistory.statusSuccess
失敗,,,,,,,,,,,,,,,,,paymentHistory.statusFail
入金,,,,,,,,,,,,,,,,,"paymentHistory.typeDeposit,agentUserPaymentHistoryList.deposit"
尚無出入金紀錄,,,,,,,,,,,,,,,,,paymentHistory.historyEmptyTip
獲取資料時發生錯誤,,,,,,,,,,,,,,,,,paymentHistory.historyErrorTip
處理中,,,,,,,,,,,,,,,,,"paymentHistory.orderStatusFail,paymentHistory.orderStatusDepositAudit,paymentHistory.orderStatusWithdrawHandle,agentUserPaymentHistoryList.orderStatusFail,agentUserPaymentHistoryList.orderStatusDepositAudit,agentUserPaymentHistoryList.orderStatusWithdrawHandle"
入金成功,,,,,,,,,,,,,,,,,"paymentHistory.orderStatusDepositSuccess,agentUserPaymentHistoryList.orderStatusDepositSuccess"
出金成功,,,,,,,,,,,,,,,,,"paymentHistory.orderStatusWithdrawSuccess,agentUserPaymentHistoryList.orderStatusWithdrawSuccess"
